Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  151 0                  0          0          com.apple.kpi.bsd (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    2   11 0                  0          0          com.apple.kpi.dsep (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    3  181 0                  0          0          com.apple.kpi.iokit (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    4    0 0                  0          0          com.apple.kpi.kasan (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    5    0 0                  0          0          com.apple.kpi.kcov (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    6  186 0                  0          0          com.apple.kpi.libkern (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    7  165 0                  0          0          com.apple.kpi.mach (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    8  117 0                  0          0          com.apple.kpi.private (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
    9  109 0                  0          0          com.apple.kpi.unsupported (24.6.0) 8C0D0E91-4191-3989-B65A-177E67A1D2BE <>
   10   16 0xffffff80031e7000 0x81fe0    0x81fe0    com.apple.kec.corecrypto (14.0) 73605282-B982-31D4-9F9C-3027B1F9F833 <9 8 7 6 3 1>
   11    0 0xffffff80018f6000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) 1EB14BFB-87E1-3DA1-89F5-A3FCAB099675 <10 8 7 6>
   12    0 0xffffff8001ef0000 0x3ff8     0x3ff8     com.apple.kec.Compression (1.0) 9F710EBC-01AB-390D-9F18-94224BBD206A <10 8 7 6>
   13    2 0xffffff8002eb5000 0xdfe0     0xdfe0     com.apple.kec.Libm (1) 9EF4CA58-3151-32C3-A096-E93FC7E70C91 <6>
   14    0 0xffffff8002fd5000 0x2000     0x2000     com.apple.kec.XrtHostedXnu (1) C1515C45-0FF2-3163-9C34-E2EC68250DC4 <8 6>
